hour,load_factor,ambient_temp_c,solar_radiation_w_m2,wind_speed_m_s
0,0.60,18.0,0,3.0
1,0.55,17.5,0,2.5
2,0.52,17.0,0,2.0
3,0.50,16.5,0,2.0
4,0.50,16.0,0,1.5
5,0.52,16.0,10,1.5
6,0.60,17.0,80,2.0
7,0.75,18.5,200,2.5
8,0.85,20.0,350,3.0
9,0.90,22.0,500,3.5
10,0.95,24.0,650,4.0
11,1.00,26.0,750,4.5
12,1.05,28.0,800,5.0
13,1.10,29.0,780,5.0
14,1.15,30.0,720,4.5
15,1.20,30.0,620,4.0
16,1.15,29.5,480,3.5
17,1.10,28.0,320,3.0
18,1.05,26.0,150,2.5
19,1.00,24.0,30,2.0
20,0.90,22.0,0,2.0
21,0.80,21.0,0,2.5
22,0.72,20.0,0,3.0
23,0.65,19.0,0,3.0
